							Playing Time				Performance						Per 90 Minutes					
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
159	Joel Mattsson	fi FIN	MF	HIFK	20	1999	21	19	1,582	17.kesä	1	1	0	0	3	0	0.06	0.06	0.11	0.06	0.11	Matches
160	Saibou Maudo Keita	no NOR	FW	Haka	22	1997	9	6	398	4.huhti	2	0	0	0	3	1	0.45	0.00	0.45	0.45	0.45	Matches
161	Baba Mensah	gh GHA	DF	Ilves	25	1994	7	6	540	6.0	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
162	Kai Meriluoto	fi FIN	FW	HJK	17	2003	3	0	28	0.3	1	0	0	0	0	0	maalis.21	0.00	maalis.21	maalis.21	maalis.21	Matches
163	Joel Mero	fi FIN	DF	HIFK	24	1995	12	11	951	10.kesä	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
164	Ilari Mettälä	fi FIN	FW	Ilves	25	1994	8	4	372	4.tammi	5	0	0	0	0	0	tammi.21	0.00	tammi.21	tammi.21	tammi.21	Matches
165	Tatu Miettunen	fi FIN	DF	Ilves	24	1995	18	17	1,432	15.syys	0	0	0	0	4	1	0.00	0.00	0.00	0.00	0.00	Matches
166	Gaëtan Missi Mezu	ga GAB	FW	Ilves	23	1996	9	7	523	5.elo	1	2	0	0	2	0	0.17	0.34	0.52	0.17	0.52	Matches
167	Rui Modesto	pt POR	FW	FC Honka	20	1999	3	0	42	0.5	0	0	0	0	0	1	0.00	0.00	0.00	0.00	0.00	Matches
168	Henrik Moisander	fi FIN	GK	Inter Turku	34	1985	17	17	1,53	17.0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
169	Eetu Mömmö	fi FIN	FW	Ilves	17	2002	18	7	675	7.touko	1	0	0	0	3	0	0.13	0.00	0.13	0.13	0.13	Matches
170	Ellinton Antonio Costa Morais	br BRA	FW	Inter Turku	29	1990	17	3	442	4.syys	1	0	0	0	0	0	0.20	0.00	0.20	0.20	0.20	Matches
171	Valtteri Moren	fi FIN	DF	HJK	28	1991	10	9	855	9.touko	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
172	Alim Moundi	cm CMR	MF	TPS	24	1995	21	18	1,616	18.0	0	1	0	0	3	0	0.00	0.06	0.06	0.00	0.06	Matches
